Ano,Mes,Tema,Subtema,item,Viajeros
2010,Enero,Flujos turisticos,Totales,Viajeros,"4,851,288"
2010,Febrero,Flujos turisticos,Totales,Viajeros,"3,374,830"
2010,Marzo,Flujos turisticos,Totales,Viajeros,"4,082,275"
2010,Abril,Flujos turisticos,Totales,Viajeros,"3,865,644"
2010,Mayo,Flujos turisticos,Totales,Viajeros,"4,019,998"
2010,Junio,Flujos turisticos,Totales,Viajeros,"4,245,875"
2010,Julio,Flujos turisticos,Totales,Viajeros,"4,515,475"
2010,Agosto,Flujos turisticos,Totales,Viajeros,"4,212,409"
2010,Septiembre,Flujos turisticos,Totales,Viajeros,"3,847,116"
2010,Octubre,Flujos turisticos,Totales,Viajeros,"4,805,153"
2010,Noviembre,Flujos turisticos,Totales,Viajeros,"4,481,159"
2010,Diciembre,Flujos turisticos,Totales,Viajeros,"5,186,089"
2010,Total,Flujos turisticos,Totales,Viajeros,"51,487,311"
2011,Enero,Flujos turisticos,Totales,Viajeros,"5,820,698"
2011,Febrero,Flujos turisticos,Totales,Viajeros,"4,015,839"
2011,Marzo,Flujos turisticos,Totales,Viajeros,"4,693,567"
2011,Abril,Flujos turisticos,Totales,Viajeros,"4,967,626"
2011,Mayo,Flujos turisticos,Totales,Viajeros,"4,613,002"
2011,Junio,Flujos turisticos,Totales,Viajeros,"5,425,012"
2011,Julio,Flujos turisticos,Totales,Viajeros,"5,322,721"
2011,Agosto,Flujos turisticos,Totales,Viajeros,"4,992,849"
2011,Septiembre,Flujos turisticos,Totales,Viajeros,"4,669,654"
2011,Octubre,Flujos turisticos,Totales,Viajeros,"5,474,559"
2011,Noviembre,Flujos turisticos,Totales,Viajeros,"5,403,572"
2011,Diciembre,Flujos turisticos,Totales,Viajeros,"5,984,673"
2011,Total,Flujos turisticos,Totales,Viajeros,"61,383,772"
2012,Enero,Flujos turisticos,Totales,Viajeros,"6,472,007"
2012,Febrero,Flujos turisticos,Totales,Viajeros,"4,648,648"
2012,Marzo,Flujos turisticos,Totales,Viajeros,"5,239,596"
2012,Abril,Flujos turisticos,Totales,Viajeros,"5,859,707"
2012,Mayo,Flujos turisticos,Totales,Viajeros,"4,680,535"
2012,Junio,Flujos turisticos,Totales,Viajeros,"6,394,308"
2012,Julio,Flujos turisticos,Totales,Viajeros,"6,243,750"
2012,Agosto,Flujos turisticos,Totales,Viajeros,"5,779,375"
2012,Septiembre,Flujos turisticos,Totales,Viajeros,"5,583,964"
2012,Octubre,Flujos turisticos,Totales,Viajeros,"6,055,008"
2012,Noviembre,Flujos turisticos,Totales,Viajeros,"6,295,109"
2012,Diciembre,Flujos turisticos,Totales,Viajeros,"6,602,963"
2012,Total,Flujos turisticos,Totales,Viajeros,"69,854,970"
2013,Enero,Flujos turisticos,Totales,Viajeros,"6,338,743"
2013,Febrero,Flujos turisticos,Totales,Viajeros,"4,746,430"
2013,Marzo,Flujos turisticos,Totales,Viajeros,"5,738,472"
2013,Abril,Flujos turisticos,Totales,Viajeros,"5,733,332"
2013,Mayo,Flujos turisticos,Totales,Viajeros,"5,086,603"
2013,Junio,Flujos turisticos,Totales,Viajeros,"6,440,830"
2013,Julio,Flujos turisticos,Totales,Viajeros,"6,464,075"
2013,Agosto,Flujos turisticos,Totales,Viajeros,"5,853,286"
2013,Septiembre,Flujos turisticos,Totales,Viajeros,"5,931,673"
2013,Octubre,Flujos turisticos,Totales,Viajeros,"6,552,710"
2013,Noviembre,Flujos turisticos,Totales,Viajeros,"6,784,194"
2013,Diciembre,Flujos turisticos,Totales,Viajeros,"6,432,030"
2013,Total,Flujos turisticos,Totales,Viajeros,"72,102,378"
2014,Enero,Flujos turisticos,Totales,Viajeros,"6,526,937"
2014,Febrero,Flujos turisticos,Totales,Viajeros,"4,882,772"
2014,Marzo,Flujos turisticos,Totales,Viajeros,"5,819,049"
2014,Abril,Flujos turisticos,Totales,Viajeros,"6,129,098"
2014,Mayo,Flujos turisticos,Totales,Viajeros,"5,156,105"
2014,Junio,Flujos turisticos,Totales,Viajeros,"6,547,652"
2014,Julio,Flujos turisticos,Totales,Viajeros,"7,125,544"
2014,Agosto,Flujos turisticos,Totales,Viajeros,"6,301,188"
2014,Septiembre,Flujos turisticos,Totales,Viajeros,"6,452,186"
2014,Octubre,Flujos turisticos,Totales,Viajeros,"7,301,977"
2014,Noviembre,Flujos turisticos,Totales,Viajeros,"7,080,029"
2014,Diciembre,Flujos turisticos,Totales,Viajeros,"7,616,182"
2014,Total,Flujos turisticos,Totales,Viajeros,"76,938,719"
2015,Enero,Flujos turisticos,Totales,Viajeros,"8,308,764"
2015,Febrero,Flujos turisticos,Totales,Viajeros,"6,701,577"
2015,Marzo,Flujos turisticos,Totales,Viajeros,"7,708,506"
2015,Abril,Flujos turisticos,Totales,Viajeros,"7,793,112"
2015,Mayo,Flujos turisticos,Totales,Viajeros,"8,151,365"
2015,Junio,Flujos turisticos,Totales,Viajeros,"8,870,504"
2015,Julio,Flujos turisticos,Totales,Viajeros,"8,097,867"
2015,Agosto,Flujos turisticos,Totales,Viajeros,"8,367,916"
2015,Septiembre,Flujos turisticos,Totales,Viajeros,"8,578,517"
2015,Octubre,Flujos turisticos,Totales,Viajeros,"9,224,490"
2015,Noviembre,Flujos turisticos,Totales,Viajeros,"9,197,901"
2015,Diciembre,Flujos turisticos,Totales,Viajeros,"9,374,337"
2015,Total,Flujos turisticos,Totales,Viajeros,"100,374,856"
2016,Enero,Flujos turisticos,Totales,Viajeros,"9,116,310"
2016,Febrero,Flujos turisticos,Totales,Viajeros,"7,140,138"
2016,Marzo,Flujos turisticos,Totales,Viajeros,"8,347,565"
2016,Abril,Flujos turisticos,Totales,Viajeros,"7,499,748"
2016,Mayo,Flujos turisticos,Totales,Viajeros,"8,356,742"
2016,Junio,Flujos turisticos,Totales,Viajeros,"8,569,496"
2016,Julio,Flujos turisticos,Totales,Viajeros,"8,567,687"
2016,Agosto,Flujos turisticos,Totales,Viajeros,"8,263,092"
2016,Septiembre,Flujos turisticos,Totales,Viajeros,"7,802,378"
2016,Octubre,Flujos turisticos,Totales,Viajeros,"9,064,807"
2016,Noviembre,Flujos turisticos,Totales,Viajeros,"8,855,484"
2016,Diciembre,Flujos turisticos,Totales,Viajeros,"8,984,595"
2016,Total,Flujos turisticos,Totales,Viajeros,"100,568,042"
2017,Enero,Flujos turisticos,Totales,Viajeros,"9,275,878"
2017,Febrero,Flujos turisticos,Totales,Viajeros,"7,163,187"
2017,Marzo,Flujos turisticos,Totales,Viajeros,"8,212,508"
2017,Abril,Flujos turisticos,Totales,Viajeros,"9,195,168"
2017,Mayo,Flujos turisticos,Totales,Viajeros,"8,605,441"
2017,Junio,Flujos turisticos,Totales,Viajeros,"9,420,215"
2017,Julio,Flujos turisticos,Totales,Viajeros,"9,029,226"
2017,Agosto,Flujos turisticos,Totales,Viajeros,"8,941,198"
2017,Septiembre,Flujos turisticos,Totales,Viajeros,"8,230,177"
2017,Octubre,Flujos turisticos,Totales,Viajeros,"9,356,141"
2017,Noviembre,Flujos turisticos,Totales,Viajeros,"9,602,405"
2017,Diciembre,Flujos turisticos,Totales,Viajeros,"10,131,971"
2017,Total,Flujos turisticos,Totales,Viajeros,"107,163,515"
2018,Enero,Flujos turisticos,Totales,Viajeros," 9,021,093 "
2018,Febrero,Flujos turisticos,Totales,Viajeros," 8,953,666 "
2018,Marzo,Flujos turisticos,Totales,Viajeros,"9,617,652"
2018,Abril,Flujos turisticos,Totales,Viajeros,"8,491,960"
2018,Mayo,Flujos turisticos,Totales,Viajeros," 8,751,387 "
2018,Junio,Flujos turisticos,Totales,Viajeros,"9,839,552"
2018,Julio,Flujos turisticos,Totales,Viajeros,"9,192,907"
2018,Agosto,Flujos turisticos,Totales,Viajeros,"9,062,806"
2018,Septiembre,Flujos turisticos,Totales,Viajeros,"8,514,142"
2018,Octubre,Flujos turisticos,Totales,Viajeros,"9,663,766"
2018,Noviembre,Flujos turisticos,Totales,Viajeros,"9,869,370"
2018,Diciembre,Flujos turisticos,Totales,Viajeros,"10,274,031"
2018,Total,Flujos turisticos,Totales,Viajeros,"111,252,332"
2019,Enero,Flujos turisticos,Totales,Viajeros,"9,175,295"
2019,Febrero,Flujos turisticos,Totales,Viajeros,"9,338,151"
2019,Marzo,Flujos turisticos,Totales,Viajeros,"11,167,976"
2019,Abril,Flujos turisticos,Totales,Viajeros,"9,318,069"
2019,Mayo,Flujos turisticos,Totales,Viajeros,"9,144,234"
2019,Junio,Flujos turisticos,Totales,Viajeros,"9,600,458"
2019,Julio,Flujos turisticos,Totales,Viajeros,"8,724,677"
2019,Agosto,Flujos turisticos,Totales,Viajeros,"9,102,881"
2019,Septiembre,Flujos turisticos,Totales,Viajeros,"8,401,741"
2019,Octubre,Flujos turisticos,Totales,Viajeros,"9,653,351"
2019,Noviembre,Flujos turisticos,Totales,Viajeros,"9,884,450"
2019,Diciembre,Flujos turisticos,Totales,Viajeros,"10,308,401"
2019,Total,Flujos turisticos,Totales,Viajeros,"113,819,684"
2010,Enero,Flujos turisticos,Flujo emisivo,Residentes,"3,268,540"
2010,Febrero,Flujos turisticos,Flujo emisivo,Residentes,"2,120,363"
2010,Marzo,Flujos turisticos,Flujo emisivo,Residentes,"2,647,268"
2010,Abril,Flujos turisticos,Flujo emisivo,Residentes,"2,365,243"
2010,Mayo,Flujos turisticos,Flujo emisivo,Residentes,"2,559,992"
2010,Junio,Flujos turisticos,Flujo emisivo,Residentes,"2,774,904"
2010,Julio,Flujos turisticos,Flujo emisivo,Residentes,"2,842,046"
2010,Agosto,Flujos turisticos,Flujo emisivo,Residentes,"2,536,600"
2010,Septiembre,Flujos turisticos,Flujo emisivo,Residentes,"2,413,239"
