TEMA,SUBTEMA,VARIABLE,CLASE,Fuente,AnO,Valor
Tasa de ocupacion Hotelera,Tasa de ocupacion hotelera Bogota,Porcentaje,,"Asociacion Hotelera y Tuistica de Colombia- COTELCO, Sistema de Informacion Turistica- SIH",2010,61.10%
Tasa de ocupacion Airbnb,Tasa de ocupacion Airbnb Bogota,Porcentaje,,,2010,
Generacion de empleo turismo,Empleo Turismo Bogota,Total,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2010,222977
Generacion de empleo turismo,Sectores directos,Agencias de viaje,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2010,10367.5
Generacion de empleo turismo,Sectores directos,Alojamiento y hospedaje,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2010,10512.41667
Generacion de empleo turismo,Sectores conexos,Alimentos y bebidas,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2010,119400.0833
Generacion de empleo turismo,Sectores conexos,Esparcimiento,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2010,1106.333333
Generacion de empleo turismo,Sectores conexos,Transporte aereo,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2010,7996.75
Generacion de empleo turismo,Sectores conexos,Transporte terrestre,,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH. Corte marzo 2020",2010,73593.91667
Generacion de empleo turismo,Participacion % ,Porcentaje,Empleo Turismo/ Turismo Bogota,"Departamento Administrativo Nacional de Estadistica- DANE, Gran Encuesta Integrada de Hogares- GEIH Corte marzo 2020",2010,6.10%
Conectividad directa internacional,Ciudades,Total,,"Aeronautica civil, Base de datos Trafico por Equipo. Corte marzo 2020",2010,31
